Time,Lat, Long,  Bearing (Degs), Frequency (Hz), Strength
12/12/2014 12:04:30, 0.03599712023038157, -0.004499640028797696, 169.27092, 179.28053, 42.36078
12/12/2014 12:04:35, 0.03599712023038157, -0.004499640028797696, 169.2196, 179.28078, 42.46178
12/12/2014 12:04:40, 0.03599712023038157, -0.004499640028797696, 169.1678, 179.28104, 42.563324
12/12/2014 12:04:45, 0.03599712023038157, -0.004499640028797696, 169.1155, 179.28128, 42.665413
12/12/2014 12:04:50, 0.03599712023038157, -0.004499640028797696, 169.0627, 179.28154, 42.76806
12/12/2014 12:04:55, 0.03599712023038157, -0.004499640028797696, 169.00938, 179.2818, 42.871258
12/12/2014 12:05:00, 0.03599712023038157, -0.004499640028797696, 168.95555, 179.28207, 42.97502
12/12/2014 12:05:05, 0.03599712023038157, -0.004499640028797696, 168.90121, 179.28235, 43.079357
12/12/2014 12:05:10, 0.03599712023038157, -0.004499640028797696, 168.84633, 179.28262, 43.18427
12/12/2014 12:05:15, 0.03599712023038157, -0.004499640028797696, 168.79091, 179.2829, 43.28976
12/12/2014 12:05:20, 0.03599712023038157, -0.004499640028797696, 168.73494, 179.28319, 43.39584
12/12/2014 12:05:25, 0.03599712023038157, -0.004499640028797696, 168.67842, 179.2835, 43.502514
12/12/2014 12:05:30, 0.03599712023038157, -0.004499640028797696, 168.62134, 179.28378, 43.60979
12/12/2014 12:05:35, 0.03599712023038157, -0.004499640028797696, 168.56369, 179.28409, 43.71767
12/12/2014 12:05:40, 0.03599712023038157, -0.004499640028797696, 168.50546, 179.28441, 43.826168
12/12/2014 12:05:45, 0.03599712023038157, -0.004499640028797696, 168.44664, 179.28473, 43.935284
12/12/2014 12:05:50, 0.03599712023038157, -0.004499640028797696, 168.38722, 179.28505, 44.045025
12/12/2014 12:05:55, 0.03599712023038157, -0.004499640028797696, 168.32721, 179.28539, 44.1554
12/12/2014 12:06:00, 0.03599712023038157, -0.004499640028797696, 168.26657, 179.28572, 44.266415
12/12/2014 12:06:05, 0.03599712023038157, -0.004499640028797696, 168.2053, 179.28607, 44.37808
12/12/2014 12:06:10, 0.03599712023038157, -0.004499640028797696, 168.1434, 179.28642, 44.490395
12/12/2014 12:06:15, 0.03599712023038157, -0.004499640028797696, 168.08087, 179.28679, 44.60337
12/12/2014 12:06:20, 0.03599712023038157, -0.004499640028797696, 168.01768, 179.28716, 44.71702
12/12/2014 12:06:25, 0.03599712023038157, -0.004499640028797696, 167.95383, 179.28754, 44.831337
12/12/2014 12:06:30, 0.03599712023038157, -0.004499640028797696, 167.8893, 179.28792, 44.946342
12/12/2014 12:06:35, 0.03599712023038157, -0.004499640028797696, 167.82408, 179.28831, 45.06204
12/12/2014 12:06:40, 0.03599712023038157, -0.004499640028797696, 167.75816, 179.28871, 45.17843
12/12/2014 12:06:45, 0.03599712023038157, -0.004499640028797696, 167.69156, 179.28912, 45.29553
12/12/2014 12:06:50, 0.03599712023038157, -0.004499640028797696, 167.62422, 179.28954, 45.41334
12/12/2014 12:06:55, 0.03599712023038157, -0.004499640028797696, 167.55615, 179.28998, 45.53187
12/12/2014 12:07:00, 0.03599712023038157, -0.004499640028797696, 167.48735, 179.2904, 45.651134
12/12/2014 12:07:05, 0.03599712023038157, -0.004499640028797696, 167.4178, 179.29086, 45.771137
12/12/2014 12:07:10, 0.03599712023038157, -0.004499640028797696, 167.34747, 179.29132, 45.89188
12/12/2014 12:07:15, 0.03599712023038157, -0.004499640028797696, 167.27637, 179.2918, 46.01338
12/12/2014 12:07:20, 0.03599712023038157, -0.004499640028797696, 167.20448, 179.29227, 46.13564
12/12/2014 12:07:25, 0.03599712023038157, -0.004499640028797696, 167.13179, 179.29276, 46.258667
12/12/2014 12:07:30, 0.03599712023038157, -0.004499640028797696, 167.05829, 179.29326, 46.382477
12/12/2014 12:07:35, 0.03599712023038157, -0.004499640028797696, 166.98395, 179.29378, 46.507072
12/12/2014 12:07:40, 0.03599712023038157, -0.004499640028797696, 166.90877, 179.29431, 46.632465
12/12/2014 12:07:45, 0.03599712023038157, -0.004499640028797696, 166.83272, 179.29485, 46.75866
12/12/2014 12:07:50, 0.03599712023038157, -0.004499640028797696, 166.75581, 179.2954, 46.88567
12/12/2014 12:07:55, 0.03599712023038157, -0.004499640028797696, 166.67801, 179.29597, 47.0135
12/12/2014 12:08:00, 0.03599712023038157, -0.004499640028797696, 166.5993, 179.29655, 47.142162
12/12/2014 12:08:05, 0.03599712023038157, -0.004499640028797696, 166.51968, 179.29715, 47.271667
12/12/2014 12:08:10, 0.03599712023038157, -0.004499640028797696, 166.43912, 179.29776, 47.40202
12/12/2014 12:08:15, 0.03599712023038157, -0.004499640028797696, 166.35762, 179.29839, 47.53323
12/12/2014 12:08:20, 0.03599712023038157, -0.004499640028797696, 166.27515, 179.29903, 47.665306
12/12/2014 12:08:25, 0.03599712023038157, -0.004499640028797696, 166.19168, 179.29968, 47.79826
12/12/2014 12:08:30, 0.03599712023038157, -0.004499640028797696, 166.10722, 179.30035, 47.9321
12/12/2014 12:08:35, 0.03599712023038157, -0.004499640028797696, 166.02176, 179.30106, 48.066833
12/12/2014 12:08:40, 0.03599712023038157, -0.004499640028797696, 165.93524, 179.30176, 48.202477
12/12/2014 12:08:45, 0.03599712023038157, -0.004499640028797696, 165.84767, 179.30249, 48.339027
12/12/2014 12:08:50, 0.03599712023038157, -0.004499640028797696, 165.75903, 179.30324, 48.476505
12/12/2014 12:08:55, 0.03599712023038157, -0.004499640028797696, 165.6693, 179.30402, 48.614914
12/12/2014 12:09:00, 0.03599712023038157, -0.004499640028797696, 165.57845, 179.30481, 48.75427
12/12/2014 12:09:05, 0.03599712023038157, -0.004499640028797696, 165.48645, 179.30562, 48.89457
12/12/2014 12:09:10, 0.03599712023038157, -0.004499640028797696, 165.39331, 179.30646, 49.035835
12/12/2014 12:09:15, 0.03599712023038157, -0.004499640028797696, 165.299, 179.30731, 49.17807
12/12/2014 12:09:20, 0.03599712023038157, -0.004499640028797696, 165.20348, 179.3082, 49.32128
12/12/2014 12:09:25, 0.03599712023038157, -0.004499640028797696, 165.10674, 179.3091, 49.465485
12/12/2014 12:09:30, 0.03599712023038157, -0.004499640028797696, 165.00876, 179.31003, 49.610683
12/12/2014 12:09:35, 0.03599712023038157, -0.004499640028797696, 164.9095, 179.31099, 49.75689
12/12/2014 12:09:40, 0.03599712023038157, -0.004499640028797696, 164.80896, 179.31198, 49.90411
12/12/2014 12:09:45, 0.03599712023038157, -0.004499640028797696, 164.7071, 179.313, 50.052353
12/12/2014 12:09:50, 0.03599712023038157, -0.004499640028797696, 164.60391, 179.31404, 50.20163
12/12/2014 12:09:55, 0.03599712023038157, -0.004499640028797696, 164.49934, 179.31512, 50.351944
12/12/2014 12:10:00, 0.03599712023038157, -0.004499640028797696, 164.39339, 179.31624, 50.50331
12/12/2014 12:10:05, 0.03599712023038157, -0.004499640028797696, 164.286, 179.31738, 50.65573
12/12/2014 12:10:10, 0.03599712023038157, -0.004499640028797696, 164.17715, 179.31856, 50.809216
12/12/2014 12:10:15, 0.03599712023038157, -0.004499640028797696, 164.06685, 179.31978, 50.963768
12/12/2014 12:10:20, 0.03599712023038157, -0.004499640028797696, 163.95503, 179.32103, 51.119396
12/12/2014 12:10:25, 0.03599712023038157, -0.004499640028797696, 163.84167, 179.32231, 51.27611
12/12/2014 12:10:30, 0.03599712023038157, -0.004499640028797696, 163.72675, 179.32365, 51.433914
12/12/2014 12:10:35, 0.03599712023038157, -0.004499640028797696, 163.61021, 179.32503, 51.59281
12/12/2014 12:10:40, 0.03599712023038157, -0.004499640028797696, 163.49205, 179.32645, 51.752804
12/12/2014 12:10:45, 0.03599712023038157, -0.004499640028797696, 163.37221, 179.32791, 51.913902
12/12/2014 12:10:50, 0.03599712023038157, -0.004499640028797696, 163.25067, 179.32942, 52.076103
12/12/2014 12:10:55, 0.03599712023038157, -0.004499640028797696, 163.1274, 179.33098, 52.23941
12/12/2014 12:11:00, 0.03599712023038157, -0.004499640028797696, 163.00235, 179.3326, 52.40383
12/12/2014 12:11:05, 0.03599712023038157, -0.004499640028797696, 162.8755, 179.33426, 52.56936
