Time(s),Lap,GPS_Update,GPS_Delay,Accuracy (m),Lat,Long,Altitude (m),Speed (MPH),Heading (deg),dX(m),dY(m),dZ(m),X(m),Y(m),Z(m),OBD_Update,Engine Speed (RPM) *OBD,"Accelerator Pedal (%) *OBD"""
0.21,0,1,0,2.5,39.73556,-103.8917433,1530,10.4,210.8,0.05,-0.04,-0.03,0.05,-0.04,-0.03,1,1694.5,30.3
0.31,0,0,0,2.5,39.73556,-103.8917433,1530,10.4,210.8,0.01,-0.17,0,0.06,-0.21,-0.03,0,1694.5,30.3
0.32,0,1,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,0.01,-0.17,0,0.07,-0.38,-0.03,0,1694.5,30.3
0.35,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,0,-0.1,0,0.07,-0.48,-0.03,0,1694.5,30.3
0.38,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,-0.02,-0.17,0,0.05,-0.65,-0.03,0,1694.5,30.3
0.41,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,-0.03,-0.2,0.01,0.02,-0.85,-0.02,1,1827.75,34.34
0.44,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,-0.01,-0.16,0,0.01,-1.01,-0.02,0,1827.75,34.34
0.47,0,0,0,2.5,39.73556,-103.8917433,1531,10.4,210.8,-0.08,-0.23,-0.04,-0.07,-1.24,-0.06,0,1827.75,34.34
0.48,0,1,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.08,-0.23,-0.04,-0.15,-1.47,-0.1,0,1827.75,34.34
0.51,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.05,-0.19,0,-0.2,-1.66,-0.1,0,1827.75,34.34
0.54,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.1,-0.18,-0.02,-0.3,-1.84,-0.12,0,1827.75,34.34
0.55,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.17,-0.28,-0.08,-0.47,-2.12,-0.2,0,1827.75,34.34
0.6,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.02,-0.25,0.07,-0.49,-2.37,-0.13,1,1970.25,35.35
0.62,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.13,-0.24,-0.04,-0.62,-2.61,-0.17,0,1970.25,35.35
0.65,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.2,-0.26,0.05,-0.82,-2.87,-0.12,0,1970.25,35.35
0.67,0,0,0,2.5,39.7355183,-103.891815,1531,11.7,226.1,-0.02,-0.22,0.06,-0.84,-3.09,-0.06,0,1970.25,35.35
0.7,0,1,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.06,-0.24,0.04,-0.9,-3.33,-0.02,0,1970.25,35.35
0.73,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.18,-0.25,-0.13,-1.08,-3.58,-0.15,0,1970.25,35.35
0.75,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.14,-0.28,-0.03,-1.22,-3.86,-0.18,0,1970.25,35.35
0.78,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.16,-0.26,-0.05,-1.38,-4.12,-0.23,1,2049.5,34.34
0.81,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.11,-0.34,-0.08,-1.49,-4.46,-0.31,0,2049.5,34.34
0.83,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.14,-0.32,-0.03,-1.63,-4.78,-0.34,0,2049.5,34.34
0.85,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.09,-0.22,0.04,-1.72,-5,-0.3,0,2049.5,34.34
0.87,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.06,-0.29,0.06,-1.78,-5.29,-0.24,0,2049.5,34.34
0.9,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.12,-0.29,0.05,-1.9,-5.58,-0.19,0,2049.5,34.34
0.91,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.15,-0.31,-0.03,-2.05,-5.89,-0.22,0,2049.5,34.34
0.94,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.13,-0.33,0.04,-2.18,-6.22,-0.18,0,2049.5,34.34
0.95,0,0,0.03,2.5,39.735515,-103.8918267,1531,11.9,228.1,-0.15,-0.34,-0.04,-2.33,-6.56,-0.22,0,2049.5,34.34
1,0,1,0.1,2.5,39.7355083,-103.89184,1531,12,230.2,-0.16,-0.31,0.02,-2.49,-6.87,-0.2,0,2049.5,34.34
1.02,0,0,0.1,2.5,39.7355083,-103.89184,1531,12,230.2,-0.18,-0.31,0,-2.67,-7.18,-0.2,1,2158.75,33.33
1.04,0,0,0.1,2.5,39.7355083,-103.89184,1531,12,230.2,-0.16,-0.28,0,-2.83,-7.46,-0.2,0,2158.75,33.33
1.08,0,0,0.1,2.5,39.7355083,-103.89184,1531,12,230.2,-0.17,-0.31,0.01,-3,-7.77,-0.19,0,2158.75,33.33
1.1,0,1,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.2,-0.36,-0.01,-3.2,-8.13,-0.2,0,2158.75,33.33
1.12,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.18,-0.32,-0.01,-3.38,-8.45,-0.21,0,2158.75,33.33
1.15,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.18,-0.29,0.01,-3.56,-8.74,-0.2,0,2158.75,33.33
1.2,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.25,-0.28,-0.05,-3.81,-9.02,-0.25,0,2158.75,33.33
1.22,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.19,-0.26,-0.01,-4,-9.28,-0.26,1,2272.5,33.33
1.25,0,0,0,2.5,39.7355067,-103.8918533,1532,12,233.5,-0.18,-0.3,0.07,-4.18,-9.58,-0.19,0,2272.5,33.33
1.27,0,1,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.24,-0.3,-0.09,-4.42,-9.88,-0.28,0,2272.5,33.33
1.3,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.17,-0.27,0.01,-4.59,-10.15,-0.27,0,2272.5,33.33
1.32,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.19,-0.21,0,-4.78,-10.36,-0.27,0,2272.5,33.33
1.35,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.21,-0.22,-0.04,-4.99,-10.58,-0.31,0,2272.5,33.33
1.37,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.19,-0.19,-0.01,-5.18,-10.77,-0.32,1,2350,28.28
1.4,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.19,-0.16,0,-5.37,-10.93,-0.32,0,2350,28.28
1.42,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.2,-0.12,0,-5.57,-11.05,-0.32,0,2350,28.28
1.45,0,0,0,2.5,39.7355067,-103.89187,1531,12.2,238.1,-0.15,-0.09,0.02,-5.72,-11.14,-0.3,0,2350,28.28
1.47,0,1,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.16,-0.04,0,-5.88,-11.18,-0.3,0,2350,28.28
1.48,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.11,-0.08,0.02,-5.99,-11.26,-0.28,0,2350,28.28
1.51,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.12,-0.11,-0.03,-6.11,-11.37,-0.31,0,2350,28.28
1.53,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.1,-0.1,-0.01,-6.21,-11.47,-0.32,1,2411.75,0
1.55,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.13,-0.05,-0.05,-6.34,-11.52,-0.37,0,2411.75,0
1.61,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,-0.08,-0.01,0.04,-6.42,-11.53,-0.33,0,2411.75,0
1.65,0,0,0,2.5,39.7355033,-103.8918866,1531,12.4,241.3,0.02,0.01,0.01,-6.4,-11.52,-0.32,0,2411.75,0
1.67,0,1,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.02,0.01,0.01,-6.38,-11.51,-0.31,0,2411.75,0
1.7,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.03,-0.04,-0.01,-6.35,-11.55,-0.32,1,2399.75,0
1.77,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.1,0.02,0,-6.25,-11.53,-0.32,0,2399.75,0
1.82,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.14,-0.04,0.02,-6.11,-11.57,-0.3,0,2399.75,0
1.87,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.15,-0.02,-0.03,-5.96,-11.59,-0.33,0,2399.75,0
1.94,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.21,0,-0.01,-5.75,-11.59,-0.34,1,2383.5,0
1.98,0,0,0,2.5,39.735505,-103.891905,1531,12.8,245.1,0.16,0.02,-0.03,-5.59,-11.57,-0.37,0,2383.5,0
2.01,0,1,0.14,2.5,39.735505,-103.8919233,1531,13.2,248.4,0.16,0.02,-0.03,-5.43,-11.55,-0.4,0,2383.5,0
2.04,0,0,0.14,2.5,39.735505,-103.8919233,1531,13.2,248.4,0.29,0.02,-0.1,-5.14,-11.53,-0.5,0,2383.5,0
2.09,0,0,0.14,2.5,39.735505,-103.8919233,1531,13.2,248.4,0.39,0,0.06,-4.75,-11.53,-0.44,1,2369.75,0
2.13,0,1,0,2.5,39.7355033,-103.8919383,1531,13.5,249.9,0.33,0,0.01,-4.42,-11.53,-0.43,0,2369.75,0
2.19,0,0,0,2.5,39.7355033,-103.8919383,1531,13.5,249.9,0.3,-0.02,-0.07,-4.12,-11.55,-0.5,0,2369.75,0
2.24,0,0,0,2.5,39.7355033,-103.8919383,1531,13.5,249.9,0.39,0,-0.03,-3.73,-11.55,-0.53,0,2369.75,0
2.3,0,0,0,2.5,39.7355033,-103.8919383,1531,13.5,249.9,0.47,-0.01,0.06,-3.26,-11.56,-0.47,0,2369.75,0
2.31,0,1,0,2.5,39.7355083,-103.8919584,1531,13.7,253.7,0.47,-0.01,0.06,-2.79,-11.57,-0.41,0,2369.75,0
2.34,0,0,0,2.5,39.7355083,-103.8919584,1531,13.7,253.7,0.5,-0.01,0.04,-2.29,-11.58,-0.37,0,2369.75,0
2.4,0,0,0,2.5,39.7355083,-103.8919584,1531,13.7,253.7,0.37,-0.01,-0.06,-1.92,-11.59,-0.43,1,2202.25,0
2.45,0,1,0,2.5,39.7355083,-103.8919767,1532,14.2,256.2,0.42,-0.01,0.01,-1.5,-11.6,-0.42,0,2202.25,0
2.5,0,0,0,2.5,39.7355083,-103.8919767,1532,14.2,256.2,0.29,0.03,0.01,-1.21,-11.57,-0.41,0,2202.25,0
2.54,0,0,0,2.5,39.7355083,-103.8919767,1532,14.2,256.2,0.32,0,0.02,-0.89,-11.57,-0.39,1,1984.25,0
2.6,0,0,0,2.5,39.7355083,-103.8919767,1532,14.2,256.2,0.23,-0.02,-0.01,-0.66,-11.59,-0.4,0,1984.25,0
2.67,0,0,0,2.5,39.7355083,-103.8919767,1532,14.2,256.2,0.22,0.01,0.05,-0.44,-11.58,-0.35,1,1832.25,0
2.68,0,1,0.04,2.5,39.7355117,-103.891995,1532,14.3,258.7,0.16,-0.01,-0.05,-0.28,-11.59,-0.4,0,1832.25,0
2.73,0,0,0.04,2.5,39.7355117,-103.891995,1532,14.3,258.7,0.1,0,-0.04,-0.18,-11.59,-0.44,0,1832.25,0
2.77,0,0,0.04,2.5,39.7355117,-103.891995,1532,14.3,258.7,0.09,0.01,0,-0.09,-11.58,-0.44,0,1832.25,0
2.83,0,0,0.04,2.5,39.7355117,-103.891995,1532,14.3,258.7,0.03,0.03,-0.02,-0.06,-11.55,-0.46,0,1832.25,0
2.89,0,0,0.04,2.5,39.7355117,-103.891995,1532,14.3,258.7,0.06,0.04,-0.15,-3.46945E-15,-11.51,-0.61,1,1772.75,0
2.94,0,0,0.04,2.5,39.7355117,-103.891995,1532,14.3,258.7,-0.01,-0.02,-0.07,-0.01,-11.53,-0.68,0,1772.75,0
3.01,0,0,0.04,2.5,39.7355117,-103.891995,1532,14.3,258.7,0.06,-0.02,0.02,0.05,-11.55,-0.66,0,1772.75,0
3.03,0,1,0.15,2.5,39.7355117,-103.892015,1532,14.5,260.5,0.01,0.07,-0.05,0.06,-11.48,-0.71,0,1772.75,0
3.08,0,0,0.15,2.5,39.7355117,-103.892015,1532,14.5,260.5,0,0,-0.13,0.06,-11.48,-0.84,1,1739.5,0
3.13,0,0,0.15,2.5,39.7355117,-103.892015,1532,14.5,260.5,0.12,0.03,0.05,0.18,-11.45,-0.79,0,1739.5,0
3.14,0,1,0,2.5,39.735515,-103.8920317,1532,14.6,262.2,0.12,0.03,0.05,0.3,-11.42,-0.74,0,1739.5,0
3.2,0,0,0,2.5,39.735515,-103.8920317,1532,14.6,262.2,0.04,0.01,-0.02,0.34,-11.41,-0.76,1,1759.75,0
3.24,0,0,0,2.5,39.735515,-103.8920317,1532,14.6,262.2,-0.01,0,-0.03,0.33,-11.41,-0.79,0,1759.75,0
3.34,0,0,0,2.5,39.735515,-103.8920317,1532,14.6,262.2,0.03,0.01,0.01,0.36,-11.4,-0.78,0,1759.75,0
3.34,0,1,0,2.5,39.7355167,-103.8920517,1532,14.8,263.9,0.03,0.01,0.01,0.39,-11.39,-0.77,0,1759.75,0
3.37,0,0,0,2.5,39.7355167,-103.8920517,1532,14.8,263.9,0.02,0,0,0.41,-11.39,-0.77,1,1751,0
3.42,0,0,0,2.5,39.7355167,-103.8920517,1532,14.8,263.9,0.07,-0.02,0.02,0.48,-11.41,-0.75,0,1751,0
3.47,0,1,0,2.5,39.7355183,-103.8920684,1532,14.8,265,0.07,0,0,0.55,-11.41,-0.75,0,1751,0
3.51,0,0,0,2.5,39.7355183,-103.8920684,1532,14.8,265,0.02,-0.01,-0.02,0.57,-11.42,-0.77,0,1751,0
3.57,0,0,0,2.5,39.7355183,-103.8920684,1532,14.8,265,0.04,-0.01,-0.03,0.61,-11.43,-0.8,0,1751,0
3.64,0,0,0,2.5,39.7355183,-103.8920684,1532,14.8,265,0.08,-0.04,0.05,0.69,-11.47,-0.75,1,1722.5,0
3.67,0,1,0,2.5,39.73552,-103.892085,1532,14.8,266.2,0.1,0.01,0.07,0.79,-11.46,-0.68,0,1722.5,0
3.7,0,0,0,2.5,39.73552,-103.892085,1532,14.8,266.2,0.06,0,0,0.85,-11.46,-0.68,0,1722.5,0
3.75,0,0,0,2.5,39.73552,-103.892085,1532,14.8,266.2,0.07,0.04,0.01,0.92,-11.42,-0.67,0,1722.5,0
3.81,0,0,0,2.5,39.73552,-103.892085,1532,14.8,266.2,0.05,0.02,-0.04,0.97,-11.4,-0.71,1,1715,0
3.87,0,0,0,2.5,39.73552,-103.892085,1532,14.8,266.2,0.07,0,0.01,1.04,-11.4,-0.7,0,1715,0
3.92,0,0,0,2.5,39.73552,-103.892085,1532,14.8,266.2,0.08,0.05,-0.02,1.12,-11.35,-0.72,0,1715,0
3.97,0,0,0,2.5,39.73552,-103.892085,1532,14.8,266.2,0.09,0.01,0.02,1.21,-11.34,-0.7,0,1715,0
4.03,0,0,0,2.5,39.73552,-103.892085,1532,14.8,266.2,0.07,0,-0.01,1.28,-11.34,-0.71,1,1685,0
4.04,0,1,0.17,2.5,39.7355234,-103.8921017,1532,14.8,267.2,0.06,0.04,-0.02,1.34,-11.3,-0.73,0,1685,0
4.08,0,0,0.17,2.5,39.7355234,-103.8921017,1532,14.8,267.2,0.06,0.05,0.03,1.4,-11.25,-0.7,0,1685,0
4.1,0,1,0,2.5,39.735525,-103.8921167,1532,14.7,268,0.06,0.05,0.03,1.46,-11.2,-0.67,0,1685,0
4.14,0,0,0,2.5,39.735525,-103.8921167,1532,14.7,268,0.08,0.05,0.01,1.54,-11.15,-0.66,0,1685,0
4.2,0,0,0,2.5,39.735525,-103.8921167,1532,14.7,268,0.07,0.03,-0.01,1.61,-11.12,-0.67,0,1685,0
4.27,0,0,0,2.5,39.735525,-103.8921167,1532,14.7,268,0.09,0.04,-0.01,1.7,-11.08,-0.68,1,1647.25,0
4.28,0,1,0,2.5,39.735525,-103.8921333,1532,14.7,268.6,0.11,0.02,-0.03,1.81,-11.06,-0.71,0,1647.25,0
4.34,0,0,0,2.5,39.735525,-103.8921333,1532,14.7,268.6,0.09,0.03,0.02,1.9,-11.03,-0.69,0,1647.25,0
4.4,0,0,0,2.5,39.735525,-103.8921333,1532,14.7,268.6,0.06,0.08,-0.02,1.96,-10.95,-0.71,0,1647.25,0
4.44,0,0,0,2.5,39.735525,-103.8921333,1532,14.7,268.6,0.08,0.04,0.01,2.04,-10.91,-0.7,0,1647.25,0
4.54,0,1,0.06,2.5,39.735525,-103.8921483,1532,8.9,268.6,0.06,0.05,-0.01,2.1,-10.86,-0.71,1,1616,0
4.57,0,0,0.06,2.5,39.735525,-103.8921483,1532,8.9,268.6,0.06,0.1,0,2.16,-10.76,-0.71,0,1616,0
4.6,0,0,0.06,2.5,39.735525,-103.8921483,1532,8.9,268.6,0.08,0.06,0.02,2.24,-10.7,-0.69,0,1616,0
4.67,0,0,0.06,2.5,39.735525,-103.8921483,1532,8.9,268.6,0.07,0.06,-0.02,2.31,-10.64,-0.71,1,1582.5,1.01
4.7,0,1,0,2.5,39.7355283,-103.8921617,1532,9.2,270.2,0.09,0.08,-0.01,2.4,-10.56,-0.72,0,1582.5,1.01
4.73,0,0,0,2.5,39.7355283,-103.8921617,1532,9.2,270.2,0.08,0.1,-0.02,2.48,-10.46,-0.74,0,1582.5,1.01
4.79,0,0,0,2.5,39.7355283,-103.8921617,1532,9.2,270.2,0.1,0.09,0.04,2.58,-10.37,-0.7,0,1582.5,1.01
4.85,0,0,0,2.5,39.7355283,-103.8921617,1532,9.2,270.2,0.08,0.08,0,2.66,-10.29,-0.7,1,1552,2.02
4.9,0,0,0,2.5,39.7355283,-103.8921617,1532,9.2,270.2,0.08,0.12,0,2.74,-10.17,-0.7,0,1552,2.02
4.96,0,0,0,2.5,39.7355283,-103.8921617,1532,9.2,270.2,0.07,0.15,-0.02,2.81,-10.02,-0.72,0,1552,2.02
5.01,0,1,0.11,2.5,39.73553,-103.8921767,1532,9.7,270.9,0.07,0.15,-0.01,2.88,-9.87,-0.73,0,1552,2.02
5.05,0,0,0.11,2.5,39.73553,-103.8921767,1532,9.7,270.9,0.08,0.13,-0.01,2.96,-9.74,-0.74,0,1552,2.02
5.12,0,0,0.11,2.5,39.73553,-103.8921767,1532,9.7,270.9,0.1,0.16,0,3.06,-9.58,-0.74,0,1552,2.02
5.14,0,1,0,2.5,39.7355317,-103.8921917,1532,10,271.2,0.07,0.18,0.05,3.13,-9.4,-0.69,1,1534,3.03
5.19,0,0,0,2.5,39.7355317,-103.8921917,1532,10,271.2,0.08,0.2,-0.03,3.21,-9.2,-0.72,0,1534,3.03
5.24,0,0,0,2.5,39.7355317,-103.8921917,1532,10,271.2,0.15,0.23,-0.02,3.36,-8.97,-0.74,0,1534,3.03
5.31,0,0,0,2.5,39.7355317,-103.8921917,1532,10,271.2,0.13,0.19,0,3.49,-8.78,-0.74,1,1469.25,4.04
5.32,0,1,0,2.5,39.735535,-103.8922066,1532,10.4,272.2,0.12,0.26,-0.03,3.61,-8.52,-0.77,0,1469.25,4.04
5.37,0,0,0,2.5,39.735535,-103.8922066,1532,10.4,272.2,0.1,0.23,-0.01,3.71,-8.29,-0.78,0,1469.25,4.04
5.45,0,0,0,2.5,39.735535,-103.8922066,1532,10.4,272.2,0.11,0.18,0.01,3.82,-8.11,-0.77,0,1469.25,4.04
5.48,0,1,0,2.5,39.7355384,-103.89222,1532,10.6,273.2,0.11,0.29,-0.01,3.93,-7.82,-0.78,0,1469.25,4.04
5.51,0,0,0,2.5,39.7355384,-103.89222,1532,10.6,273.2,0.09,0.24,0.01,4.02,-7.58,-0.77,1,1454.75,8.08
5.57,0,0,0,2.5,39.7355384,-103.89222,1532,10.6,273.2,0.08,0.26,-0.03,4.1,-7.32,-0.8,0,1454.75,8.08
5.61,0,0,0,2.5,39.7355384,-103.89222,1532,10.6,273.2,0.05,0.21,-0.01,4.15,-7.11,-0.81,0,1454.75,8.08
5.68,0,0,0,2.5,39.7355384,-103.89222,1532,10.6,273.2,0.05,0.21,0.02,4.2,-6.9,-0.79,0,1454.75,8.08
5.71,0,1,0.03,2.5,39.73554,-103.892235,1532,10.9,273.8,0.08,0.23,0.01,4.28,-6.67,-0.78,0,1454.75,8.08
5.73,0,0,0.03,2.5,39.73554,-103.892235,1532,10.9,273.8,0.06,0.21,0.05,4.34,-6.46,-0.73,0,1454.75,8.08
5.78,0,0,0.03,2.5,39.73554,-103.892235,1532,10.9,273.8,0,0.2,-0.03,4.34,-6.26,-0.76,1,1450.75,10.1
5.84,0,0,0.03,2.5,39.73554,-103.892235,1532,10.9,273.8,-0.01,0.24,0.01,4.33,-6.02,-0.75,0,1450.75,10.1
5.89,0,0,0.03,2.5,39.73554,-103.892235,1532,10.9,273.8,0,0.2,0.01,4.33,-5.82,-0.74,0,1450.75,10.1
5.95,0,0,0.03,2.5,39.73554,-103.892235,1532,10.9,273.8,0.02,0.26,-0.02,4.35,-5.56,-0.76,1,1439.25,10.1
6.02,0,0,0.03,2.5,39.73554,-103.892235,1532,10.9,273.8,-0.01,0.25,0,4.34,-5.31,-0.76,0,1439.25,10.1
6.05,0,1,0.14,2.5,39.7355433,-103.89225,1532,11,274.3,-0.02,0.23,-0.02,4.32,-5.08,-0.78,0,1439.25,10.1
6.09,0,0,0.14,2.5,39.7355433,-103.89225,1532,11,274.3,-0.01,0.22,-0.02,4.31,-4.86,-0.8,0,1439.25,10.1
6.14,0,0,0.14,2.5,39.7355433,-103.89225,1532,11,274.3,0.01,0.24,0.03,4.32,-4.62,-0.77,1,1453.25,10.1
6.19,0,0,0.14,2.5,39.7355433,-103.89225,1532,11,274.3,-0.06,0.21,-0.05,4.26,-4.41,-0.82,0,1453.25,10.1
6.24,0,0,0.14,2.5,39.7355433,-103.89225,1532,11,274.3,-0.04,0.23,0,4.22,-4.18,-0.82,0,1453.25,10.1
6.29,0,1,0,2.5,39.735545,-103.8922784,1532,11.4,273.2,-0.03,0.28,-0.03,4.19,-3.9,-0.85,0,1453.25,10.1
6.35,0,0,0,2.5,39.735545,-103.8922784,1532,11.4,273.2,0.03,0.27,0.04,4.22,-3.63,-0.81,1,1469.5,10.1
6.39,0,0,0,2.5,39.735545,-103.8922784,1532,11.4,273.2,0,0.23,-0.03,4.22,-3.4,-0.84,0,1469.5,10.1
6.47,0,1,0,2.5,39.7355417,-103.8922934,1532,11.6,271.7,0.01,0.24,-0.02,4.23,-3.16,-0.86,0,1469.5,10.1
6.51,0,0,0,2.5,39.7355417,-103.8922934,1532,11.6,271.7,0,0.19,0,4.23,-2.97,-0.86,1,1487.5,10.1
6.55,0,0,0,2.5,39.7355417,-103.8922934,1532,11.6,271.7,0.01,0.25,-0.02,4.24,-2.72,-0.88,0,1487.5,10.1
6.59,0,0,0,2.5,39.7355417,-103.8922934,1532,11.6,271.7,0.01,0.25,-0.01,4.25,-2.47,-0.89,0,1487.5,10.1
6.65,0,0,0,2.5,39.7355417,-103.8922934,1532,11.6,271.7,-0.01,0.23,0.01,4.24,-2.24,-0.88,0,1487.5,10.1
6.72,0,1,0.05,2.5,39.73554,-103.8923084,1532,11.9,270,-0.01,0.27,-0.01,4.23,-1.97,-0.89,1,1506.75,10.1
6.76,0,0,0.05,2.5,39.73554,-103.8923084,1532,11.9,270,0.01,0.3,0,4.24,-1.67,-0.89,0,1506.75,10.1
6.79,0,0,0.05,2.5,39.73554,-103.8923084,1532,11.9,270,0,0.24,0,4.24,-1.43,-0.89,0,1506.75,10.1
6.86,0,0,0.05,2.5,39.73554,-103.8923084,1532,11.9,270,0.01,0.26,-0.01,4.25,-1.17,-0.9,0,1506.75,10.1
6.92,0,0,0.05,2.5,39.73554,-103.8923084,1532,11.9,270,-0.03,0.23,-0.01,4.22,-0.94,-0.91,0,1506.75,10.1
6.96,0,0,0.05,2.5,39.73554,-103.8923084,1532,11.9,270,-0.02,0.27,-0.01,4.2,-0.67,-0.92,1,1526.25,10.1
6.98,0,1,0.06,2.5,39.7355384,-103.8923233,1532,12,268.6,-0.01,0.28,0,4.19,-0.39,-0.92,0,1526.25,10.1
7.04,0,0,0.06,2.5,39.7355384,-103.8923233,1532,12,268.6,-0.01,0.23,-0.03,4.18,-0.16,-0.95,0,1526.25,10.1
7.09,0,1,0,2.5,39.7355366,-103.8923383,1532,12.1,266.7,0.01,0.31,-0.01,4.19,0.15,-0.96,0,1526.25,10.1
7.14,0,0,0,2.5,39.7355366,-103.8923383,1532,12.1,266.7,-0.01,0.24,-0.04,4.18,0.39,-1,0,1526.25,10.1
7.19,0,0,0,2.5,39.7355366,-103.8923383,1532,12.1,266.7,-0.02,0.24,-0.04,4.16,0.63,-1.04,1,1544.25,10.1
7.25,0,0,0,2.5,39.7355366,-103.8923383,1532,12.1,266.7,-0.01,0.25,-0.03,4.15,0.88,-1.07,0,1544.25,10.1
7.28,0,1,0,2.5,39.7355333,-103.8923517,1531,12.2,265,-0.01,0.22,0.01,4.14,1.1,-1.06,0,1544.25,10.1
7.32,0,0,0,2.5,39.7355333,-103.8923517,1531,12.2,265,0.02,0.25,-0.01,4.16,1.35,-1.07,0,1544.25,10.1
7.38,0,0,0,2.5,39.7355333,-103.8923517,1531,12.2,265,0,0.22,0.01,4.16,1.57,-1.06,0,1544.25,10.1
7.43,0,0,0,2.5,39.7355333,-103.8923517,1531,12.2,265,0.01,0.23,-0.01,4.17,1.8,-1.07,1,1569.75,11.11
7.48,0,0,0,2.5,39.7355333,-103.8923517,1531,12.2,265,0.01,0.3,0.02,4.18,2.1,-1.05,0,1569.75,11.11
7.51,0,1,0.04,2.5,39.7355317,-103.892365,1531,12.1,261.8,-0.03,0.21,-0.03,4.15,2.31,-1.08,0,1569.75,11.11
7.57,0,0,0.04,2.5,39.7355317,-103.892365,1531,12.1,261.8,0,0.27,-0.1,4.15,2.58,-1.18,0,1569.75,11.11
7.62,0,0,0.04,2.5,39.7355317,-103.892365,1531,12.1,261.8,0.03,0.2,0.02,4.18,2.78,-1.16,0,1569.75,11.11
7.66,0,1,0,2.5,39.7355267,-103.8923784,1531,12.1,259.2,0,0.26,-0.02,4.18,3.04,-1.18,0,1569.75,11.11
7.71,0,0,0,2.5,39.7355267,-103.8923784,1531,12.1,259.2,-0.01,0.26,0.02,4.17,3.3,-1.16,1,1599,12.12
7.81,0,0,0,2.5,39.7355267,-103.8923784,1531,12.1,259.2,-0.03,0.24,-0.02,4.14,3.54,-1.18,0,1599,12.12
7.85,0,0,0,2.5,39.7355267,-103.8923784,1531,12.1,259.2,0.01,0.21,-0.04,4.15,3.75,-1.22,0,1599,12.12
7.88,0,0,0,2.5,39.7355267,-103.8923784,1531,12.1,259.2,-0.03,0.19,0,4.12,3.94,-1.22,0,1599,12.12
7.95,0,0,0,2.5,39.7355267,-103.8923784,1531,12.1,259.2,-0.01,0.21,0.02,4.11,4.15,-1.2,0,1599,12.12
7.98,0,0,0,2.5,39.7355267,-103.8923784,1531,12.1,259.2,-0.07,0.27,0.02,4.04,4.42,-1.18,1,1643,18.18
